tipo_entidad,renglon,desc_renglon,saldo_a_la_fecha,riesgo_a_c,riesgo_b_c,riesgo_c_c,riesgo_d_c,riesgo_e_c,venc1_6,venc6_12,venc+12
0.17112,0.78528,0.03112,5.666359540529364,0.0,0.0,0.0,0.0,0.0,3.397662608372159,2.7051816239995534,0.0
0.6922,0.78528,0.01364,11.989155032254104,6.3835066348840055,2.4849066497880004,0.0,1.0986122886681098,0.0,9.57257618422681,5.505384615824413,7.381431681581065
0.6922,0.78528,0.01768,13.99932761268854,6.655440350367647,2.6390573296152584,1.0986122886681098,0.0,0.6931471805599453,6.453200990903771,0.0,6.156946357934635
0.17112,0.78528,0.0178,9.829123439311852,0.0,0.0,0.0,0.0,0.0,0.0,4.014014127047866,0.0
0.02588,0.78528,0.026,3.5227436681399817,0.6931471805599453,0.0,0.0,0.0,1.0986122886681098,1.1428830493518438,2.048017177859911,2.9819733522188296
0.6922,0.78528,0.02472,10.101637574194967,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6922,0.78528,0.02824,13.028233688030316,11.297390395609458,7.337587743538596,6.811244378601294,6.771935555839602,8.622633703874234,10.4205337414762,0.0,0.0
0.6922,0.78528,0.04532,6.185848925471914,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6922,0.78528,0.04824,11.38104884074668,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6922,0.78528,0.0302,9.653356653344,6.616065185132817,3.6109179126442243,2.833213344056216,2.70805020110221,3.367295829986474,5.8074612069087745,4.411308553926674,5.370453908853168
0.6922,0.78528,0.03804,7.926672599619383,3.828641396489095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6922,0.78528,0.03804,5.71491302297009,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6922,0.78528,0.02684,8.066598052510797,5.5053315359323625,2.833213344056216,0.6931471805599453,1.6094379124341003,0.6931471805599453,5.840065171469885,0.0,0.0
0.10932,0.78528,0.0302,10.598674754686318,6.380122536899765,1.3862943611198906,0.0,3.295836866004329,1.0986122886681098,6.308945954764138,6.070363457048066,5.852029056691584
0.6922,0.11236,0.0214,11.16877241535152,2.772588722239781,0.0,0.6931471805599453,0.0,0.0,9.500215359231756,0.0,6.390393638586087
0.6922,0.78528,0.04824,7.399209174357678,3.9318256327243257,1.6094379124341003,1.0986122886681098,2.1972245773362196,0.0,3.96070451607595,4.1036367557583295,0.0
0.6922,0.78528,0.026,15.092573201373252,11.33726169584034,7.642044402873258,6.598509028614515,7.13966033596492,6.905753276311464,11.805357816052691,10.111492222066435,10.613815083315261
0.6922,0.78528,0.04632,15.331863049055903,9.689737246238513,7.288244401020124,7.045776576879511,7.424761761823209,6.584791392385716,11.059989159242697,10.904881056099367,12.338134471577368
0.6922,0.78528,0.00316,8.386736262751624,5.19295685089021,3.091042453358316,2.4849066497880004,3.1780538303479458,2.9444389791664403,6.82147021234709,5.878680699350042,5.920735131200172
0.6922,0.78528,0.033,8.934627027686128,7.192182058713246,4.110873864173311,3.8918202981106265,3.6109179126442243,3.9889840465642745,5.906540363142042,3.8618039969466937,0.0
0.02588,0.78528,0.0178,14.837620164649687,11.313266479778829,7.906178840394815,7.400620577371135,6.709304340258298,6.823286122355687,11.955518132966596,10.251652356950219,10.500119783120025
0.6922,0.78528,0.03804,5.765847739816131,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6922,0.78528,0.02616,10.351194397764898,6.2285110035911835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10932,0.78528,0.04532,11.996212195172678,10.142543822310387,6.638567789166521,6.248042874508429,7.27931883541462,6.894670039433482,8.925001023336101,8.771134508401865,0.0
0.6922,0.78528,0.033,7.883471037587341,8.157657015196472,5.529429087511423,5.093750200806762,5.170483995038151,5.147494476813453,5.309063212578252,2.78598397885318,0.0
0.6922,0.78528,0.03804,12.153763856665755,9.45108805723875,3.5263605246161616,2.70805020110221,1.0986122886681098,3.4011973816621555,0.0,2.252780374338217,0.0
0.6922,0.78528,0.026,14.19622781904014,10.70447966004682,7.201170883281678,6.338594078203183,5.231108616854587,6.175867270105761,11.289312563578502,9.216673382365746,9.685789774668963
0.6922,0.78528,0.04632,12.671864266155591,6.577861357721047,5.231108616854587,3.7612001156935624,4.574710978503383,4.465908118654584,7.622147194050643,7.998824314047458,10.002140591618891
0.6922,0.05952,0.01788,12.938478992237247,5.288267030694535,1.791759469228055,0.0,1.0986122886681098,0.0,9.529664456154856,7.169789855262296,7.2877304781436445
0.6922,0.78528,0.01364,15.21728865666939,10.414663115066407,6.236369590203704,4.820281565605037,4.060443010546419,3.6635616461296463,12.002518728040203,9.334660742397162,9.472166342512566
0.6922,0.05952,0.02876,10.206472417834572,9.028818495352793,5.700443573390687,4.330733340286331,5.616771097666572,4.912654885736052,7.5193978173895655,5.2927445925976455,0.0
0.6922,0.78528,0.02472,13.626870238933826,2.3978952727983707,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
0.10932,0.78528,0.02172,3.3524071974927234,0.0,0.0,0.0,0.0,0.0,3.3524071974927234,0.0,0.0
0.10932,0.78528,0.04632,8.896662929397145,3.8918202981106265,1.0986122886681098,0.0,0.6931471805599453,1.3862943611198906,3.7485776233762924,0.0,6.819914576742823
0.6922,0.78528,0.02528,12.707723606153621,10.168847325983418,8.1786387885907,7.58629630715272,6.386879319362645,7.933438387627489,9.56091481279766,9.420659360846601,0.0
